session,crop_trial
behavior_789917_2025-10-29_19-26-21,310
behavior_789917_2025-10-30_20-09-12,260
behavior_789917_2025-10-31_21-40-25,220
behavior_789917_2025-11-06_21-05-05,220
behavior_789917_2025-11-07_21-18-38,150
behavior_789917_2025-11-11_20-54-26,150
behavior_789917_2025-11-14_21-38-38,280
behavior_789917_2025-11-17_21-11-53,280
behavior_789917_2025-11-18_21-32-50,260
behavior_789917_2025-11-19_21-33-05,270
behavior_789917_2025-11-21_21-17-34,260
behavior_789917_2025-11-24_20-17-00,260
behavior_789917_2025-11-25_20-46-34,345
behavior_789917_2025-11-26_20-55-27,310
behavior_789917_2025-12-02_20-52-33,420
behavior_789917_2025-12-03_21-11-55,365
behavior_789917_2025-12-04_20-51-09,400
behavior_789917_2025-12-05_21-41-33,480
behavior_789917_2025-12-08_21-22-40,400
behavior_789917_2025-12-09_21-04-47,350
behavior_789917_2025-12-10_20-40-54,390
behavior_789917_2025-12-11_20-32-41,330
behavior_789917_2025-12-12_21-11-40,400
behavior_789917_2025-12-15_20-54-58,250
behavior_789917_2025-12-16_21-08-15,300
behavior_789917_2025-12-17_20-55-03,350
behavior_808619_2025-10-20_20-33-39,170
behavior_808619_2025-10-23_20-04-31,175
behavior_808619_2025-10-24_20-44-22,175
behavior_808619_2025-10-28_19-45-54,210
behavior_808619_2025-10-29_19-27-04,150
behavior_808619_2025-10-30_20-08-43,175
behavior_808619_2025-10-31_21-40-31,140
behavior_808619_2025-11-04_21-10-02,175
behavior_808619_2025-11-05_20-48-54,180
behavior_808619_2025-11-06_21-05-13,170
behavior_808619_2025-11-07_21-17-56,200
behavior_808728_2025-10-20_20-33-47,150
behavior_808728_2025-10-22_19-48-56,110
behavior_808728_2025-10-28_19-46-11,170
behavior_808728_2025-10-29_19-27-21,140
behavior_808728_2025-10-30_20-35-44,190
behavior_808728_2025-10-31_21-39-05,260
behavior_808728_2025-11-05_20-48-43,140
behavior_808728_2025-11-10_20-56-13,160
behavior_808728_2025-11-11_21-02-49,280
behavior_808728_2025-11-18_21-31-29,320
behavior_808728_2025-11-19_21-31-05,390
behavior_808728_2025-11-20_21-28-20,420
behavior_808728_2025-11-21_21-17-05,350
behavior_808728_2025-11-24_20-21-25,365
behavior_808728_2025-11-25_20-45-49,350
behavior_808728_2025-11-26_20-55-05,250
behavior_808728_2025-12-02_20-50-57,300
behavior_808728_2025-12-03_20-56-35,270
behavior_808728_2025-12-04_20-50-45,250
behavior_808728_2025-12-05_21-41-55,270
behavior_808728_2025-12-08_21-22-35,285
behavior_808728_2025-12-09_20-52-25,260
behavior_808728_2025-12-10_20-40-41,225
behavior_808728_2025-12-11_20-36-58,240
behavior_808728_2025-12-12_21-11-34,250
behavior_808728_2025-12-15_21-19-25,250
behavior_808728_2025-12-16_21-07-48,200
behavior_808728_2025-12-17_20-54-33,250
